id,contact_id,Phone_type,area_code,Phone_number
1,1,Cellular,732,732-392-7165
2,2,Cellular,907,907-913-3698
3,3,Cellular,637,637-715-3867
4,4,Cellular,359,359-747-1907
5,5,Cellular,543,543-710-0843
6,6,Cellular,227,227-992-2900
7,7,Cellular,181,181-781-9784
8,8,Cellular,871,871-791-7851
9,9,Cellular,933,933-257-7616
10,10,Cellular,747,747-303-4705
11,11,Cellular,423,423-257-0444
12,12,Cellular,537,537-987-3004
13,13,Cellular,994,994-189-5386
14,14,Cellular,223,223-746-7737
15,15,Cellular,769,769-740-9664
16,16,Cellular,275,275-477-5499
17,17,Cellular,272,272-367-4116
18,18,Cellular,770,770-282-5502
19,19,Cellular,131,131-155-6846
20,20,Cellular,452,452-967-2050
21,21,Cellular,310,310-517-1998
22,22,Cellular,905,905-442-0240
23,23,Cellular,886,886-702-1908
24,24,Cellular,562,562-617-1312
25,25,Cellular,873,873-511-6075
26,26,Cellular,826,826-297-4157
27,27,Cellular,770,770-453-6125
28,28,Cellular,806,806-105-9954
29,29,Cellular,899,899-522-4338
30,30,Cellular,993,993-228-0137
31,31,Cellular,939,939-693-0069
32,32,Cellular,330,330-860-4567
33,34,Cellular,189,189-158-2552
34,35,Cellular,929,929-650-9987
35,36,Cellular,713,713-373-4369
36,37,Cellular,708,708-580-5566
37,38,Cellular,544,544-254-3783
38,39,Cellular,918,918-967-1567
39,40,Cellular,441,441-572-3400
40,41,Cellular,798,798-797-3341
41,42,Cellular,519,519-774-5168
42,43,Cellular,808,808-824-0672
43,44,Cellular,584,584-539-0112
44,45,Cellular,398,398-879-3327
45,46,Cellular,930,930-819-8669
46,47,Cellular,146,146-300-8184
47,48,Cellular,637,637-650-0978
48,50,Cellular,488,488-851-7113
49,51,Cellular,771,771-812-0449
50,52,Cellular,258,258-263-5860
51,53,Cellular,378,378-873-6862
52,54,Cellular,125,125-655-6551
53,55,Cellular,320,320-344-7502
54,56,Cellular,614,614-951-1081
55,57,Cellular,158,158-791-4110
56,58,Cellular,502,502-272-1989
57,59,Cellular,743,743-364-4750
58,60,Cellular,801,801-995-3628
59,61,Cellular,978,978-461-6856
60,62,Cellular,791,791-162-2031
61,63,Cellular,968,968-277-3614
62,64,Cellular,798,798-873-9529
63,65,Cellular,288,288-674-1492
64,66,Cellular,334,334-497-2608
65,68,Cellular,203,203-431-4947
66,69,Cellular,307,307-758-9076
67,70,Cellular,849,849-695-9335
68,71,Cellular,748,748-818-7221
69,72,Cellular,697,697-516-7673
70,74,Cellular,359,359-128-8195
71,75,Cellular,853,853-669-6031
72,76,Cellular,182,182-313-3105
73,77,Cellular,645,645-688-9829
74,78,Cellular,952,952-872-9308
75,80,Cellular,896,896-621-0151
76,81,Cellular,301,301-947-1348
77,82,Cellular,442,442-776-7096
78,83,Cellular,131,131-277-8084
79,84,Cellular,112,112-337-2438
80,85,Cellular,467,467-112-0628
81,86,Cellular,512,512-999-1443
82,87,Cellular,311,311-847-9441
83,88,Cellular,322,322-220-0314
84,89,Cellular,793,793-596-6729
85,90,Cellular,920,920-954-7865
86,91,Cellular,996,996-463-7162
87,92,Cellular,685,685-563-0088
88,93,Cellular,335,335-464-4346
89,94,Cellular,289,289-490-2307
90,95,Cellular,438,438-145-4987
91,96,Cellular,299,299-709-3929
92,97,Cellular,322,322-529-5730
93,98,Cellular,554,554-908-6180
94,99,Cellular,298,298-978-5587
95,100,Cellular,518,518-928-2083
96,101,Cellular,467,467-169-7052
97,102,Cellular,601,601-151-6193
98,103,Cellular,415,415-761-2375
99,104,Cellular,932,932-478-6742
100,105,Cellular,612,612-751-9073
101,106,Cellular,738,738-834-4899
102,107,Cellular,518,518-553-9464
103,108,Cellular,215,215-217-7070
104,109,Cellular,817,817-774-4659
105,110,Cellular,985,985-795-6001
106,111,Cellular,280,280-593-0508
107,112,Cellular,634,634-832-4961
108,113,Cellular,671,671-420-1296
109,114,Cellular,743,743-968-9698
110,115,Cellular,850,850-168-3428
111,116,Cellular,685,685-794-3792
112,117,Cellular,626,626-230-5244
113,118,Cellular,189,189-946-4134
114,119,Cellular,499,499-521-3027
115,120,Cellular,525,525-786-1129
116,121,Cellular,162,162-591-7297
117,122,Cellular,734,734-943-5823
118,123,Cellular,927,927-269-5557
119,124,Cellular,560,560-540-7010
120,125,Cellular,368,368-393-8119
121,126,Cellular,819,819-216-7409
122,127,Cellular,510,510-507-2668
123,128,Cellular,417,417-939-5637
124,129,Cellular,689,689-724-6341
125,130,Cellular,659,659-300-9914
126,131,Cellular,485,485-509-8914
127,132,Cellular,205,205-273-2823
128,133,Cellular,739,739-726-5173
129,134,Cellular,561,561-758-3885
130,135,Cellular,780,780-319-6348
131,136,Cellular,665,665-863-3496
132,137,Cellular,101,101-658-4163
133,138,Cellular,965,965-369-3080
134,139,Cellular,630,630-176-1993
135,140,Cellular,126,126-191-0637
136,141,Cellular,399,399-410-3150
137,142,Cellular,400,400-632-7435
138,143,Cellular,402,402-749-4109
139,144,Cellular,623,623-440-3069
140,145,Cellular,680,680-996-8963
141,146,Cellular,741,741-405-2893
142,147,Cellular,189,189-144-5588
